,State,Locale,Load Level,File Dir
165,FL,Fort Walton Beach-Hurlburt Field,BASE,residential_load_data/BASE/USA_FL_Fort.Walton.Beach-Hurlburt.Field.747770_TMY3_BASE.csv
166,FL,Gainesville Rgnl AP,BASE,residential_load_data/BASE/USA_FL_Gainesville.Rgnl.AP.722146_TMY3_BASE.csv
167,FL,Homestead AFB,BASE,residential_load_data/BASE/USA_FL_Homestead.AFB.722026_TMY3_BASE.csv
168,FL,Jacksonville-Craig Field,BASE,residential_load_data/BASE/USA_FL_Jacksonville-Craig.Field.722068_TMY3_BASE.csv
169,FL,Jacksonville Intl AP,BASE,residential_load_data/BASE/USA_FL_Jacksonville.Intl.AP.722060_TMY3_BASE.csv
170,FL,Jacksonville NAS,BASE,residential_load_data/BASE/USA_FL_Jacksonville.NAS.722065_TMY3_BASE.csv
171,FL,Key West Intl AP,BASE,residential_load_data/BASE/USA_FL_Key.West.Intl.AP.722010_TMY3_BASE.csv
172,FL,Key West NAS,BASE,residential_load_data/BASE/USA_FL_Key.West.NAS.722015_TMY3_BASE.csv
173,FL,Lakeland Linder Rgnl AP,BASE,residential_load_data/BASE/USA_FL_Lakeland.Linder.Rgnl.AP.722119_TMY3_BASE.csv
174,FL,MacDill AFB,BASE,residential_load_data/BASE/USA_FL_MacDill.AFB.747880_TMY3_BASE.csv
175,FL,Marathon AP,BASE,residential_load_data/BASE/USA_FL_Marathon.AP.722016_TMY3_BASE.csv
176,FL,Mayport NS,BASE,residential_load_data/BASE/USA_FL_Mayport.NS.722066_TMY3_BASE.csv
177,FL,Melbourne Rgnl AP,BASE,residential_load_data/BASE/USA_FL_Melbourne.Rgnl.AP.722040_TMY3_BASE.csv
178,FL,Miami-Kendall-Tamiami Executive AP,BASE,residential_load_data/BASE/USA_FL_Miami-Kendall-Tamiami.Executive.AP.722029_TMY3_BASE.csv
179,FL,Miami-Opa Locka AP,BASE,residential_load_data/BASE/USA_FL_Miami-Opa.Locka.AP.722024_TMY3_BASE.csv
180,FL,Miami Intl AP,BASE,residential_load_data/BASE/USA_FL_Miami.Intl.AP.722020_TMY3_BASE.csv
